date,seed,model,h1,rv_h1
2023-12-31,123,XGBoost,9.058444023132324,9.629718260895311
2023-12-31,2024,XGBoost,9.042162895202637,9.629718260895311
2023-12-31,99,XGBoost,8.968232154846191,9.629718260895311
2024-04-30,42,XGBoost,12.505356788635254,13.43938302996639
2024-04-30,7,XGBoost,12.47951602935791,13.43938302996639
2024-04-30,123,XGBoost,12.495567321777344,13.43938302996639
2024-04-30,2024,XGBoost,12.467615127563477,13.43938302996639
2024-04-30,99,XGBoost,12.48440170288086,13.43938302996639
2024-08-31,42,XGBoost,19.025602340698242,19.108613176196897
2024-08-31,7,XGBoost,18.902671813964844,19.108613176196897
2024-08-31,123,XGBoost,18.81744384765625,19.108613176196897
2024-08-31,2024,XGBoost,18.95671844482422,19.108613176196897
2024-08-31,99,XGBoost,18.899036407470703,19.108613176196897
2024-12-31,42,XGBoost,15.024007797241211,14.385703780869497
2024-12-31,7,XGBoost,15.276366233825684,14.385703780869497
2024-12-31,123,XGBoost,15.203662872314453,14.385703780869497
2024-12-31,2024,XGBoost,15.164994239807129,14.385703780869497
2024-12-31,99,XGBoost,15.246787071228027,14.385703780869497
2025-04-30,42,XGBoost,46.49007034301758,51.97277720014856
2025-04-30,7,XGBoost,46.40650177001953,51.97277720014856
2025-04-30,123,XGBoost,45.76852798461914,51.97277720014856
2025-04-30,2024,XGBoost,46.2492561340332,51.97277720014856
2025-04-30,99,XGBoost,47.091339111328125,51.97277720014856
2025-08-31,42,XGBoost,11.722444534301758,10.622757397427389
2025-08-31,7,XGBoost,11.637834548950195,10.622757397427389
2025-08-31,123,XGBoost,11.691850662231445,10.622757397427389
2025-08-31,2024,XGBoost,11.631271362304688,10.622757397427389
2025-08-31,99,XGBoost,11.619330406188965,10.622757397427389
